ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences	mPTPClusterID
ANY57893__KX272741.1	KX272741.1_Rat parvovirus 2	1885571	Rat parvovirus 2	Viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae;Chapparvovirus	KX272741.1	Chapparvovirus	Chapparvovirus	KX272741.1_Viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae;Chapparvovirus	ANY57893	KX272741.1	ANY57893	ANY57893__KX272741.1_Species 25
QBJ04579__MK513525.1	MK513525.1_Tasmanian devil-associated bocavirus 1	2529488	Tasmanian devil-associated bocavirus 1	Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MK513525.1	unclassified Bocaparvovirus	unclassified Bocaparvovirus	MK513525.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	QBJ04579	MK513525.1	QBJ04579,QBJ04581	QBJ04579__MK513525.1_Species 12
QBJ04592__MK513532.1	MK513532.1_Tasmanian devil-associated chapparvovirus 5	2529486	Tasmanian devil-associated chapparvovirus 5	Viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae;Chapparvovirus;unclassified Chapparvovirus	MK513532.1	Chapparvovirus	unclassified Chapparvovirus	MK513532.1_Viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae;Chapparvovirus;unclassified Chapparvovirus	QBJ04592	MK513532.1	QBJ04592	QBJ04592__MK513532.1_Species 25
AEM37606__JN420365.1	JN420365.1_California sea lion bocavirus 3	1073961	California sea lion bocavirus 3	Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 2	JN420365.1	Pinniped bocaparvovirus 2	Pinniped bocaparvovirus 2	JN420365.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 2	AEM37606	JN420365.1	YP_009507354,AEM37606	AEM37606__JN420365.1_Species 13
ABI16638__DQ813647.1	DQ813647.1_Adeno-associated virus 12	235458	Adeno-associated virus 12	Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4	DQ813647.1	Adeno-associated dependoparvovirus A	Adeno-associated virus - 4	DQ813647.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4	ABI16638	DQ813647.1	ABI16638	ABI16638__DQ813647.1_Species 5
AAC40694__AF036710.1	AF036710.1_Rat parvovirus 1	74581	Rat parvovirus 1	Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 2	AF036710.1	Rodent protoparvovirus 2	Rodent protoparvovirus 2	AF036710.1_Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 2	AAC40694	AF036710.1	YP_009507384,AAC40693,AFV67813,AAC40694	AAC40694__AF036710.1_Species 23
ACL31580__FJ214110.1	FJ214110.1_Canine minute virus	329639	Canine minute virus	Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 1	FJ214110.1	Carnivore bocaparvovirus 1	Carnivore bocaparvovirus 1	FJ214110.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 1	ACL31580	FJ214110.1	AXF73553,AXF73549,ALR87696,AYN63510,ASM93492,BAJ12129,BAJ12125,BAJ12121,ADA57645,ACL31580,NP_758521,AAM15964,BAD72954	ACL31580__FJ214110.1_Species 13
AAR07954__AY349010.1	AY349010.1_Snake adeno-associated virus	252602	Snake adeno-associated virus	Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Squamate dependoparvovirus 1	AY349010.1	Squamate dependoparvovirus 1	Squamate dependoparvovirus 1	AY349010.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Squamate dependoparvovirus 1	AAR07954	AY349010.1	YP_068093,AAR07954	AAR07954__AY349010.1_Species 6
AUF34940__MG383445.1	MG383445.1_Human bocavirus 3	638313	Human bocavirus 3	Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1	MG383445.1	Primate bocaparvovirus 1	Primate bocaparvovirus 1	MG383445.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1	AUF34940	MG383445.1	AUF34940,AUF34939	AUF34940__MG383445.1_Species 15
QBA84386__MK378116.1	MK378116.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	MK378116.1	Ungulate bocaparvovirus 5	Ungulate bocaparvovirus 5	MK378116.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	QBA84386	MK378116.1	QBA84386	QBA84386__MK378116.1_Species 19
AAA83224__U22967.1	U22967.1_Muscovy duck parvovirus	37325	Muscovy duck parvovirus	Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1;Duck parvovirus	U22967.1	Anseriform dependoparvovirus 1	Duck parvovirus	U22967.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1;Duck parvovirus	AAA83224	U22967.1	QBZ68881,QBY91917,QBY91915,AKP07378,ALL25611,ALL25609,ALL25607,ALL25605,AKP07384,AKP07372,AKP07370,AKP07368,AZA08013,AYV89930,YP_068410,AKP07382,AQT03431,AKP07380,AUO28607,ASR91720,ARG42042,ANX99766,ANX99764,ANP94886,AMO03312,ANG60949,AIR74893,AER25356,AGG53766,AER25362,AER25360,AER25358,AAA83224,ABB76814,CAA52983	AAA83224__U22967.1_Species 5
AME15900__KT878960.1	KT878960.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KT878960.1	Carnivore amdoparvovirus 1	Carnivore amdoparvovirus 1	KT878960.1_Viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	AME15900	KT878960.1	AME15900,AME15890	AME15900__KT878960.1_Species 21
AGS15077__KF206164.1	KF206164.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206164.1	unclassified Bocaparvovirus	unclassified Bocaparvovirus	KF206164.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15077	KF206164.1	AGS15077	AGS15077__KF206164.1_Species 19
AAY45700__DQ000496.1	DQ000496.1_Primate bocaparvovirus 1	1511871	Primate bocaparvovirus 1	Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus	DQ000496.1	undef	Bocaparvovirus	DQ000496.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus	AAY45700	DQ000496.1	D0EZM8,AFR53039,AFC37600,ACX50492,QCP71045,AGC92294,AZP73833,AUF34955,YP_338086,AVI59248,AVI59244,AFR53040,AVQ05269,AAY45700,AUN34382,AUN34378,AUN34374,AUN34370,ATN39858,ATN39854,ARS03587,AND46439,AND46435,AND46431,BAH22699,BAH22695,BAH22691,BAH22687,BAH22683,BAH22679,BAH22675,BAH22671,BAH22667,BAH22663,BAH22659,BAH22655,BAH22651,BAH22647,BAH22643,AOL02442,AOL02438,ABK32023,AJC68707,AKP16746,AKP16742,AKP16738,AKP16734,AKP16730,AKP16726,AKP16722,AKP16718,AKP16714,AKP16710,AKP16706,AKP16702,AKP16698,AKP16694,AKP16690,AJD85757,AIZ00498,AIZ00494,AIZ00490,AIZ00486,AIL23578,AIL23574,AID68255,AID68251,AID68247,AID68243,AID68237,AID68233,AID68230,AID68228,AID68224,AID68220,AID68218,AID68214,AID68210,ACN29631,AIC76457,AGL10839,AEY75576,AEY75572,AEY75568,AEY75564,AEY75560,AEY75556,AEY75552,AEY75548,AEY75544,AFU35709,AFU35708,AFU35704,AFU35700,AFU35696,AFU35692,AFU35688,AFU35684,AFU35680,AFU35676,AFU35672,AFU35668,AFU35664,AFU35660,AFU35656,AFU35652,AFU35648,AFU35644,AFU35640,AFU35636,AFU35632,AFU35628,AFU35624,AFU35620,AFU35616,AFU35612,AFU35608,AFU35604,AFU35600,AFY23246,AFY23242,AFY23238,AEW07384,AEW07380,AFC37603,AEX15205,AEX15201,AEX15197,AEX15193,AEX15189,AEX15185,AEX15181,BAL42426,AER93229,AER93225,AER93221,ACP39931,ACP39927,AEO12103,ACV20861,ACV20857,AEA41859,AEA41855,AEA41851,AEA41847,ADV58353,ACS74764,ACX50493,ACL50976,ABN46902,ABN46898,ABN46894,ADB93927,ACH90139,ACY82519,ABR26352,ABR26348,ABR26344,ABR26340,ABR26336,ABR26332,ABR26328,ABR26324,ABR26320,ABR26316,ABR26312,ABR26308,ABR26304,ABR26300,ABR26296,ABR26292,ABR26288,ABR26284,ABR26280,ABR26276,ABR26272,ABR26268,ABR26264,ABR26260,ACX47175,ACX47171,ACX47167,AAY45696,ABK32027,ACG75868,ACG75860,ACG75856,ACG75852,ACG75848,ACG75844,ACG75840,ACG75836,ACG75832,ACG75828,ACG75824,ACG75820,ACG75816,ACG75812,BAH56354,BAH56358,BAH56362,BAH56366,BAH56370,BAH56374,BAH56378,ACM17825,ABX57867,ABX57863,ABQ57490,ABO32638,ABE73066,ABG77282,ABC67800,ASS83768	AAY45700__DQ000496.1_Species 15
YP_009552823__KX583629	KX583629_Adeno-associated virus	272636	Adeno-associated virus	Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	KX583629	unclassified Dependoparvovirus	unclassified Dependoparvovirus	KX583629_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	YP_009552823	KX583629	YP_009552823,AOL02446	YP_009552823__KX583629_Species 5
AEM37643__JN420372.1	JN420372.1_California sea lion adeno-associated virus 1	1073950	California sea lion adeno-associated virus 1	Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Pinniped dependoparvovirus 1	JN420372.1	Pinniped dependoparvovirus 1	Pinniped dependoparvovirus 1	JN420372.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Pinniped dependoparvovirus 1	AEM37643	JN420372.1	YP_009507366,AEM37643,AEM37641	AEM37643__JN420372.1_Species 5
AYW35040__MH003836.1	MH003836.1_Rodent bocavirus	2137546	Rodent bocavirus	Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MH003836.1	unclassified Bocaparvovirus	unclassified Bocaparvovirus	MH003836.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AYW35040	MH003836.1	AYW35040	AYW35040__MH003836.1_Species 13
BAU69595__LC085666.1	LC085666.1_Megabat bufavirus 2	1756189	Megabat bufavirus 2	Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	LC085666.1	unclassified Protoparvovirus	unclassified Protoparvovirus	LC085666.1_Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	BAU69595	LC085666.1	BAU69595,BAU69594	BAU69595__LC085666.1_Species 24
ADD17085__GU226971.1	GU226971.1_Bat adeno-associated virus YNM	727962	Bat adeno-associated virus YNM	Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Chiropteran dependoparvovirus 1	GU226971.1	Chiropteran dependoparvovirus 1	Chiropteran dependoparvovirus 1	GU226971.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Chiropteran dependoparvovirus 1	ADD17085	GU226971.1	YP_003858571,ADD17085	ADD17085__GU226971.1_Species 5
ADK34009__HM145750.1	HM145750.1_Bocavirus gorilla/GBoV1/2009	864686	Bocavirus gorilla/GBoV1/2009	Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1;Gorilla bocavirus	HM145750.1	Primate bocaparvovirus 1	Gorilla bocavirus	HM145750.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1;Gorilla bocavirus	ADK34009	HM145750.1	YP_003799996,ADK34009,AER93217,ACG75864,ASS83769	ADK34009__HM145750.1_Species 15
AID57413__KJ396347.1	KJ396347.1_Raccoon dog amdovirus	1513315	Raccoon dog amdovirus	Viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 3	KJ396347.1	Carnivore amdoparvovirus 3	Carnivore amdoparvovirus 3	KJ396347.1_Viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 3	AID57413	KJ396347.1	YP_009110759,AID57428,AID57423,AID57418,AID57413,AID57413	AID57413__KJ396347.1_Species 21
ACD37375__EU659111.1	EU659111.1_Feline panleukopenia virus	10786	Feline panleukopenia virus	Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Carnivore protoparvovirus 1	EU659111.1	Carnivore protoparvovirus 1	Carnivore protoparvovirus 1	EU659111.1_Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Carnivore protoparvovirus 1	ACD37375	EU659111.1	QDA34154,QDA34153,QDA34152,QDB64239,P12929,P27438,P24842,AXI69395,AXI69391,AXI69387,AXI69383,AXI69379,AXI69375,AXI69371,AXI69367,AXI69363,AXI69359,ARJ36692,ARJ36688,ARJ36684,ARJ36680,ARJ36676,ARJ36672,ARJ36668,ARJ36664,ARJ36660,QBH90847,QAB08715,QAB08712,AZR43700,AZR43696,AXI69760,AXI69756,AXI69752,AXI69748,AXI69744,AXI69740,AXI69736,AXI69732,AXI69728,AXI69724,AXI69720,AXI69716,AXI69712,AXI69708,AZL49225,AYW76668,AYM54736,AYM26829,AYM26825,AYE91515,AYE91510,AXR98583,AXR98579,AXR98575,AXQ59277,AXQ00348,NP_041399,AWN93256,AWN93252,AMA21668,AWB14922,AWB14918,AWB14914,AWB14910,AWB14906,AWB14902,AWB14898,AWB14894,AWB14890,AWB14886,AWB14882,AWB14878,AWB14874,AWB14870,AWB14866,AWB14862,AWB14858,AWB14854,AWB14850,AWB14846,AWB14842,AWB14838,AWB14834,AWB14830,AWB14826,AWB14822,AWB14818,AWB14814,AWB14810,AWB14806,AWB14802,AWB14798,AWB14794,AWB14790,AWB14786,AWB14782,AWB14778,AWB14774,AWB14770,AWB14766,AWB14762,AWB14758,AWB14754,AWB14750,AWB14746,AWB14742,AWB14738,AWB14734,AWB14730,AWB14726,AWB14722,AWB14718,AWB14714,AWB14710,AWB14706,AWB14702,AWB14698,AWB14694,AWB14690,AWB14686,AWB14682,AWB14678,AWB14674,AWB14603,AUQ44316,AUQ44312,AUQ44308,AUQ44304,AUQ44300,AUQ44296,AUQ44292,AUQ44288,AVN68370,AVN68369,AVN68368,AVK70086,AUI41056,ASY08113,ASY08109,ASY08105,ASY08101,ATW21589,ASV51682,ASV51678,ATG23766,ATG23762,ATG23758,ATG23754,ATG23750,ATG23746,ATE88980,ATE88976,ATE88972,AFL47804,AFL47800,AST15065,BBA20369,BBA20367,ASJ27405,ASJ27404,ASJ27403,ASJ27402,ASJ27401,ASJ27400,ASJ27399,ASJ27398,BAX77880,BAX77876,AQX37229,APW77684,APU54685,APT42872,ANQ46684,ANQ46680,ANQ46676,ANH58937,ALC79694,ALC79690,ALC79686,ALC79682,ALC79678,ALC79674,ALC79670,ALC79666,ALC79662,ALC79658,ALC79654,ALC79650,ALC79646,ALO18546,AKI88070,ALO18550,ALC79642,AIE48225,AKF02406,AKF02405,AKF02404,AKF02403,AKF02402,AKF02401,AKF02400,AKF02399,AKF02398,AKF02397,AKF02396,AKF02395,AKF02394,AKF02393,AKF02392,AKF02391,AKF02390,AKF02389,AKF02388,AJF44428,AJK93596,AIR95655,AIW67649,AIW67645,AIW67641,AIW67637,AIW67633,AIW67629,AIW67625,AIW67621,AIW67617,AIW67613,AIW67609,AIW67605,AIW67601,AIW67597,AIW67593,AIW67589,AIW67585,AIW67581,AIW67577,AIW67573,AIW67569,AIW67565,AIW67561,AIW67557,AIW67553,AIW67549,AIW67545,AIW67541,AIW67537,AIW67533,AIW67529,AIW67525,AIW67521,AIW67517,AIW67513,AIW67509,AIW67505,AIW67501,AIW67497,AIW67493,AIW67489,AIW67485,AIO11146,AHB32115,ADW27380,ADW27378,ADW27376,ADW27374,ADW27372,ADW27370,ADW27368,ADW27366,ADW27364,AGY29652,AGK27870,AEO92090,AFW04077,AFK66754,AET75144,AET75140,AET75136,AET75132,AET75128,AET75124,AET75120,AET75116,AET75112,AER12789,AEK69511,AEK69510,AEK69509,AEK69508,AEK69507,ABK06751,ACV30041,ABS18274,AAC37927,AAB02798,AAA67459,ACD37415,ACD37411,ACD37407,ACD37403,ACD37399,ACD37395,ACD37391,ACD37387,ACD37383,ACD37379,ACD37375,AAV36786,AAV36782,AAV36778,AAV36774,AAV36772,AAV36769,AAV36768,AAV36767,AAV36766,AAV36765,AAV36764,ABY27641,AAV54180,AAV54178,AAV54174,AAV54172,BAA19030,BAA19028,BAA19026,BAA19024,BAA19023,BAA19021,BAA19019,BAA19018,BAA19016,BAA19014,BAA19012,BAA19010,BAA19009,ACM46825,BAA05072,BAA00662,CAA38910,CAE47433,AFX67057,P06431,AAA47160	ACD37375__EU659111.1_Species 23
AUQ23249__KY564173.1	KY564173.1_Amdoparvovirus sp.	1908805	Amdoparvovirus sp.	Viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	KY564173.1	unclassified Amdoparvovirus	unclassified Amdoparvovirus	KY564173.1_Viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	AUQ23249	KY564173.1	AUQ23249	AUQ23249__KY564173.1_Species 21
ACT09660__GQ200736.1	GQ200736.1_Chipmunk parvovirus	56820	Chipmunk parvovirus	Viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Rodent erythroparvovirus 1	GQ200736.1	Rodent erythroparvovirus 1	Rodent erythroparvovirus 1	GQ200736.1_Viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Rodent erythroparvovirus 1	ACT09660	GQ200736.1	YP_009507375,AAB82733,ACT09660	ACT09660__GQ200736.1_Species 8
AWO81967__MG345028.1	MG345028.1_Porcine parvovirus 5	1241957	Porcine parvovirus 5	Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	MG345028.1	unclassified Protoparvovirus	unclassified Protoparvovirus	MG345028.1_Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AWO81967	MG345028.1	AWO81967,QBA84798,QBA84795,QBA84793,QBA84789,QBA84785,QBA84783,QBA84778,QBA84776,QBA84774,QBA84768,QBA84758,QBA84743,QBA84738,QBA84736,QBA84734,QBA84730,QBA84722,QBA84717,QBA84714,QBA84712,QBA84710,YP_008888533,ATE46010,AOT82271,ANM72090,ANM72088,ANM72086,ANM72084,AFU93187,AFU93185,AFU93183,AFU93181,AFU93179,ANO39505,AHB59730,QBA84760,QBA84740,QBA84791,QBA84780,QBA84719,QBA84698	AWO81967__MG345028.1_Species 3
AKG54800__KP281720.1	KP281720.1_Canine bocavirus	1108949	Canine bocavirus	Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KP281720.1	unclassified Bocaparvovirus	unclassified Bocaparvovirus	KP281720.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AKG54800	KP281720.1	AKG54800,AKG54794,AKG54787,AKG54782,AKG54777,AKG54771,AKG54765,AKG54760,AFH96903,AFH96897,AFH96891,AFH96885	AKG54800__KP281720.1_Species 13
AAD13755__AF085716.1	AF085716.1_Adeno-associated virus - 5	82300	Adeno-associated virus - 5	Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B	AF085716.1	Adeno-associated dependoparvovirus B	Adeno-associated dependoparvovirus B	AF085716.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B	AAD13755	AF085716.1	YP_068408,AAD13755,ABC69725,CAA77023	AAD13755__AF085716.1_Species 5
YP_009130650__AB937988	AB937988_Eulipotyphla protoparvovirus 1	2170148	Eulipotyphla protoparvovirus 1	Viruses;Parvoviridae;Parvovirinae;Protoparvovirus	AB937988	undef	Protoparvovirus	AB937988_Viruses;Parvoviridae;Parvovirinae;Protoparvovirus	YP_009130650	AB937988	YP_009130650,BAR42271	YP_009130650__AB937988_Species 24
ABC69727__DQ335247.1	DQ335247.1_Bovine parvovirus-1	365609	Bovine parvovirus-1	Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 1;Bovine parvovirus	DQ335247.1	Ungulate bocaparvovirus 1	Bovine parvovirus	DQ335247.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 1;Bovine parvovirus	ABC69727	DQ335247.1	YP_009508180,ABC69727,P07296,NP_041402,AAB59845,YP_009508181,ABC69730	ABC69727__DQ335247.1_Species 16
BAR42282__LC011438.1	LC011438.1_Solwezi bufavirus	1580061	Solwezi bufavirus	Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	LC011438.1	unclassified Protoparvovirus	unclassified Protoparvovirus	LC011438.1_Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	BAR42282	LC011438.1	BAR42282	BAR42282__LC011438.1_Species 24
AIC77176__KJ631100.1	KJ631100.1_Tumor virus X	1507809	Tumor virus X	Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	KJ631100.1	Rodent protoparvovirus 1	Rodent protoparvovirus 1	KJ631100.1_Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	AIC77176	KJ631100.1	AIC77176	AIC77176__KJ631100.1_Species 23
ATV81500__MF682926.1	MF682926.1_Rhinolophus pusillus adeno-associated virus 1	2053182	Rhinolophus pusillus adeno-associated virus 1	Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	MF682926.1	unclassified Dependoparvovirus	unclassified Dependoparvovirus	MF682926.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	ATV81500	MF682926.1	ATV81500	ATV81500__MF682926.1_Species 5
C5IY43__undef	undef_Human bocavirus 4 NI	1511883	Human bocavirus 4 NI	Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	undef	Primate bocaparvovirus 2	Primate bocaparvovirus 2	undef_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	C5IY43	undef	C5IY43,YP_002916059,ACR15779	C5IY43__undef_Species 15
AAN03856__AF513852.1	AF513852.1_Adeno-associated virus - 8	202813	Adeno-associated virus - 8	Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4	AF513852.1	Adeno-associated dependoparvovirus A	Adeno-associated virus - 4	AF513852.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4	AAN03856	AF513852.1	YP_077179,AAN03856,YP_077177,NP_049541,APD78413,AAN03854,AAD27758,AAB95449,ABA71700,ABA71698,CAP58622,CAP58620,AAT46338,AAT46336,CAP58623,CAP58624,CAP58625	AAN03856__AF513852.1_Species 5
ATV81502__MF682927.1	MF682927.1_Rhinolophus sinicus adeno-associated virus 1	2053183	Rhinolophus sinicus adeno-associated virus 1	Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	MF682927.1	unclassified Dependoparvovirus	unclassified Dependoparvovirus	MF682927.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	ATV81502	MF682927.1	ATV81502	ATV81502__MF682927.1_Species 5
CAA25689__X01457.1	X01457.1_H-1 parvovirus	10799	H-1 parvovirus	Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	X01457.1	Rodent protoparvovirus 1	Rodent protoparvovirus 1	X01457.1_Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	CAA25689	X01457.1	NP_041242,AAA67108,AAA69566,CAA24309,P03133,P03134,P07300,NP_041243,AWB14635,AAM93279,AAM93277,AAM93275,AJM71461,AGI62170,AGG38823,AFR44453,AAA61405,AAV33436,AAB38326,AAM93272,AAA67109,AAA69567,BAE53504,ACJ63477,ACJ63471,ACJ63465,ABK20160,ABI74614,ABB01365,ABB01359,ABB01353,CAA25689,CAC39997,CAC39995,CAC39993,CAC39991,CAC39989,P36311,AAC40695,AIF74209,AAK27438	CAA25689__X01457.1_Species 23
YP_009227290__KT454512	KT454512_Rat bocavirus	1788315	Rat bocavirus	Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KT454512	unclassified Bocaparvovirus	unclassified Bocaparvovirus	KT454512_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009227290	KT454512	YP_009227290,AMB21285,AMB21280,AMB21275,AMB21270,AMB21265,AMB21260,AXN94221,AXN94218,AXN94215,AXN94212,AXN94209,AXN94206,AXN94197,AXN94194,AXN94191,YP_009227291,AMB21284,AMB21279,AMB21274,AMB21269,AMB21264,AMB21259	YP_009227290__KT454512_Species 13
YP_009058894__AB847987	AB847987_Bufavirus-3	1391667	Bufavirus-3	Viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AB847987	undef	unclassified Parvovirinae	AB847987_Viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	YP_009058894	AB847987	YP_009058894,BAS32608,BAS32605,BAS32602,BAS32599,BAS32595,BAO56910,BAO56906,BAO56902,AFN44276,BAS32598,AIU47672,YP_009507379,AFN44273,AFN44270,AFN44267,AIU47675,AIA23800	YP_009058894__AB847987_Species 24
AQS80381__KX981976.1	KX981976.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KX981976.1	Carnivore amdoparvovirus 1	Carnivore amdoparvovirus 1	KX981976.1_Viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	AQS80381	KX981976.1	AQS80381	AQS80381__KX981976.1_Species 21
AYX42190__MG821237.1	MG821237.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	MG821237.1	Carnivore amdoparvovirus 1	Carnivore amdoparvovirus 1	MG821237.1_Viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	AYX42190	MG821237.1	AYX42190,AYX42187,AYX42184	AYX42190__MG821237.1_Species 21
